"binomial","genus","family","order","class","phylum","imputed_bm","imputed_tl","host_bm","host_tl"
"Acheta domesticus","Acheta","Gryllidae","Orthoptera","Insecta","Arthropoda","obs","obs",-0.43297363384094,2
"Teleogryllus oceanicus","Teleogryllus","Gryllidae","Orthoptera","Insecta","Arthropoda","imputed","obs",-0.420360771951668,2
"Austrelaps superbus","Austrelaps","Elapidae","Squamata","Craniata","Chordata","obs","obs",2.53019969820308,3.99
"Suta fasciata","Suta","Elapidae","Squamata","Craniata","Chordata","imputed","imputed",1.72108178066041,3.6305510561842
"Elapognathus coronatus","Elapognathus","Elapidae","Squamata","Craniata","Chordata","imputed","imputed",1.93290261376372,4.15448649627207
"Echiopsis curta","Echiopsis","Hydrophiidae","Squamata","Craniata","Chordata","imputed","imputed",1.08212046064115,4.40194767482578
"Lissolepis luctuosa","Lissolepis","Scincidae","Squamata","Craniata","Chordata","imputed","obs",1.87575097419355,3
"Notechis scutatus","Notechis","Elapidae","Squamata","Craniata","Chordata","obs","obs",2.72489000283804,3.56
"Pogona microlepidota","Pogona","Agamidae","Squamata","Craniata","Chordata","imputed","imputed",2.58069325013751,2.65106594296221
"Pogona vitticeps","Pogona","Agamidae","Squamata","Craniata","Chordata","obs","obs",2.95424250943932,2.7
"Tiliqua multifasciata","Tiliqua","Scincidae","Squamata","Craniata","Chordata","obs","obs",2.3096301674259,2
"Tiliqua occipitalis","Tiliqua","Scincidae","Squamata","Craniata","Chordata","imputed","obs",2.33016925834334,2.7
"Tiliqua rugosa","Tiliqua","Scincidae","Squamata","Craniata","Chordata","obs","obs",2.79028516403324,2
"Varanus rosenbergi","Varanus","Varanidae","Squamata","Craniata","Chordata","obs","obs",3.04493154614916,3
"Blattella germanica","Blattella","Ectobiidae","Blattodea","Insecta","Arthropoda","imputed","obs",-1.69432066809863,2
"Schistocerca gregaria","Schistocerca","Acrididae","Orthoptera","Insecta","Arthropoda","imputed","obs",0.15828966840818,2
"Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","obs","obs",3.95424202688963,2.1
"Lophocebus aterrimus","Lophocebus","Cercopithecidae","Primates","Mammalia","Chordata","obs","obs",3.8136056712705,2
"Papio anubis","Papio","Cercopithecidae","Primates","Mammalia","Chordata","obs","obs",3.73584663235026,2.7
"Papio doguera","Papio","Cercopithecidae","Primates","Mammalia","Chordata","imputed","imputed",3.79705938554605,2.42343194986553
"Adesmia panderi","Adesmia","Tenebrionidae","Coleoptera","Insecta","Arthropoda","imputed","obs",-0.312069590444622,2
"Aiolopus oxyanus","Aiolopus","Acrididae","Orthoptera","Insecta","Arthropoda","imputed","obs",1.16330133371354,2
"Blaps fausti","Blaps","Tenebrionidae","Coleoptera","Insecta","Arthropoda","imputed","obs",-0.132724444291291,2
"Bryodemella tuberculata","Bryodemella","Acrididae","Orthoptera","Insecta","Arthropoda","imputed","obs",0.131305749642472,2
"Calliptamus barbarus","Calliptamus","Acrididae","Orthoptera","Insecta","Arthropoda","imputed","obs",-0.501172350498251,2
"Calliptamus italicus","Calliptamus","Acrididae","Orthoptera","Insecta","Arthropoda","imputed","obs",-0.501172350498251,2
"Decticus verrucivorus","Decticus","Tettigoniidae","Orthoptera","Insecta","Arthropoda","imputed","obs",0.124094298362412,2
"Dila laevicollis","Dila","Tenebrionidae","Coleoptera","Insecta","Arthropoda","imputed","obs",-0.08569891265698,2
