"Scientific","tl"
"Acanthoclinus littoreus",3.37
"Acanthoclinus marilynae",3.69
"Acanthoclinus matti",3.52
"Acanthoclinus rua",3.41
"Acanthocobitis botia",3.2
"Acanthocobitis mooreh",2.89
"Acanthocobitis pavonacea",2.82
"Acanthocobitis pictilis",2.83
"Acanthocobitis rubidipinnis",2.83
"Acanthocobitis urophthalmus",2.77
"Acanthocybium solandri",4.26
"Acanthocyclops vernalis",2.953125
"Acanthocyclus albatrossis",3.31
"acanthocyclus gayi",2.72514204545455
"acanthocyclus hassleri",2.68965517241379
"Acanthodactylus aegyptius",3
"Acanthodactylus aureus",3
"Acanthodactylus beershebensis",3
"Acanthodactylus blanci",3
"Acanthodactylus blanfordii",3
"Acanthodactylus boskianus",3
"Acanthodactylus cantoris",3
"Acanthodactylus dumerilii",3
"Acanthodactylus erythrurus",3
"Acanthodactylus felicis",3
"Acanthodactylus gongrorhynchatus",3
"Acanthodactylus grandis",3
"Acanthodactylus haasi",3
"Acanthodactylus longipes",3
"Acanthodactylus maculatus",3
"Acanthodactylus masirae",3
"Acanthodactylus micropholis",3
"Acanthodactylus opheodurus",3
"Acanthodactylus pardalis",3
"Acanthodactylus robustus",3
"Acanthodactylus schmidti",2.7
"Acanthodactylus schreiberi",3
"Acanthodactylus scutellatus",3
"Acanthodactylus senegalensis",3
"Acanthodactylus tilburyi",3
"Acanthodactylus tristrami",3
"Acanthodoras cataphractus",2
"Acanthodoras depressus",2.86
"Acanthodoras spinosissimus",2.82
"Acanthodoris pilosa",2.5
"Acanthodraco dewitti",3.59
"Acanthogobio guentheri",3.32
"Acanthogobius elongatus",3.36
"Acanthogobius flavimanus",2.93029411764706
"Acanthogobius hasta",3.83
"Acanthogobius insularis",3.36
"Acanthogobius lactipes",3.01
"Acanthogobius luridus",3.16
"Acantholabrus palloni",3.5
"Acantholeberis curvirostris",2
"Acantholiparis caecus",3.27
"Acantholiparis opercularis",3.31
"Acantholumpenus mackayi",3.13
"Acanthonus armatus",3.62
"Acanthonyx lunulatus",2.07142857142857
"Acanthonyx quadridentatus",2.05009920634921
"Acanthopagrus akazakii",3.31
"Acanthopagrus arabicus",3.17
"Acanthopagrus australis",3.1
"Acanthopagrus berda",3.5
"Acanthopagrus bifasciatus",3.39
"Acanthopagrus butcheri",3.47
"Acanthopagrus catenula",3.39
"Acanthopagrus chinshira",3.32
"Acanthopagrus latus",3.84
"Acanthopagrus longispinnis",3.32
"Acanthopagrus morrisoni",3.39
"Acanthopagrus omanensis",3.27
"Acanthopagrus pacificus",3.59
"Acanthopagrus palmaris",3.38
"Acanthopagrus randalli",3.38
"Acanthopagrus schlegelii",3.24000000953674
"Acanthopagrus sheim",3.37
"Acanthopagrus sivicolus",3.38
"Acanthopagrus taiwanensis",3.32
"Acanthopagrus vagus",3.35
"Acanthoplesiops cappuccino",3
"Acanthoplesiops echinatus",3.6
"Acanthoplesiops hiatti",3.5
"Acanthoplesiops indicus",3.55
"Acanthoplesiops naka",2.57
"Acanthoplesiops psilogaster",3.28
"acanthopleura echinata",2.03603896103896
"Acanthopleura gemmata",2
"Acanthopleura spinosa",2
"Acanthopoma annectens",4.84
"Acanthopsetta nadeshnyi",3.35
"Acanthopsoides delphax",3.5
"Acanthopsoides gracilentus",3.5
"Acanthopsoides gracilis",2.6
"Acanthopsoides hapalias",2.82999992370605
"Acanthopsoides molobrion",3.5
"Acanthopsoides namromensis",3.46
"Acanthopsoides robertsi",3.47
"Acanthorhodeus chankaensis",2.06
"Acanthorhynchus superciliosus",2.3
"Acanthorhynchus tenuirostris",2.5
"Acanthosaura armata",3
"Acanthosaura capra",3
"Acanthosaura coronata",3
"Acanthosaura crucigera",3
"Acanthosaura lepidogaster",3
"Acanthosaura nataliae",2.7
"Acanthosaura phuketensis",3
"Acanthosphex leurynnis",3.1
"Acanthostracion guineensis",2.56
"Acanthostracion notacanthus",2.36
"Acanthostracion polygonius",2.43166666666667
"Acanthostracion quadricomis",2.83333333333333
"Acanthostracion quadricornis",2.68
"Acanthurus achilles",2
"Acanthurus albimento",2.15
"Acanthurus albipectoralis",3.4
"Acanthurus auranticavus",2
"Acanthurus bahianus",2.045
"Acanthurus bariene",2
"Acanthurus blochii",2
"Acanthurus chirugus",2.5
"Acanthurus chirurgus",2.09
"Acanthurus chronixis",2.18
"Acanthurus coeruleus",2.125
"Acanthurus dussumieri",2
"Acanthurus fowleri",2
"Acanthurus gahhm",2.76
"Acanthurus grammoptilus",2.11
"Acanthurus guttatus",2
"Acanthurus japonicus",2.27
"Acanthurus leucocheilus",2
"Acanthurus leucopareius",2
"Acanthurus leucosternon",2
"Acanthurus lineatus",2
"Acanthurus maculiceps",2
"Acanthurus mata",2.53
"Acanthurus monroviae",2.5
"Acanthurus nigricans",2
"Acanthurus nigricauda",2.99
"Acanthurus nigrofuscus",2
"Acanthurus nigroris",2
"Acanthurus nubilus",3.4
"Acanthurus olivaceus",2.26
"Acanthurus polyzona",2.47
"Acanthurus pyroferus",2
"Acanthurus randalli",2
"Acanthurus reversus",2.12
"Acanthurus sohal",2
"Acanthurus tennentii",2
"Acanthurus thompsoni",3.64
"Acanthurus tractus",2
"Acanthurus triostegus",2.78
"Acanthurus tristis",2.22
"Acanthurus xanthopterus",2.87
"Acantopsis dialuzona",3.5
"Acantopsis dinema",3.24
"Acantopsis ioa",3.25
"Acantopsis multistigmatus",3.26
"Acantopsis octoactinotos",3.21
"Acantopsis rungthipae",3.24
"Acantopsis spectabilis",3.26
"Acantopsis thiemmedhi",3.24
"Acapoeta tanganicae",2
"Acari",2.25
"Acari pred",2.03125
"Acarichthys heckelii",2.67
"Acarina",2
"Acarobythites larsonae",3.1
"Acaronia nassa",3.65
"Acaronia vultuosa",4.2
"Acartia bifilosa",2
"Acartia clausi",2
"Acartia discaudata",2
"Acartia hudsonica",2.90625
"Acartia pacifica",2
"Acartia tonsa",2.4453125
"Accalathura gigantissima",3.285
"Accipiter albogularis",3.6
"Accipiter bicolor",3.5
"Accipiter brachyurus",3.5
"Accipiter chilensis",3.5
"Accipiter chionogaster",3.5
"Accipiter cirrocephalus",3.5
"Accipiter collaris",3.5
"Accipiter cooperi",3.75
"Accipiter cooperii",3.5
"Accipiter erythrauchen",3.5
"Accipiter erythronemius",3.5
"Accipiter erythropus",3.3
"Accipiter fasciatus",3.4
"Accipiter gularis",3.5
"Accipiter haplochrous",3.6
"Accipiter henicogrammus",3.5
"Accipiter henstii",3.5
"Accipiter imitator",3.6
"Accipiter luteoschistaceus",3.6
"Accipiter madagascariensis",3.5
"Accipiter melanochlamys",3.5
"Accipiter melanoleucus",3.55
"Accipiter minullus",3.5
"Accipiter nanus",3.15
"Accipiter nisus",3.5
"Accipiter novaehollandiae",3.5
"Accipiter ovampensis",3.5
"Accipiter poliocephalus",3.8
"Accipiter princeps",3.25
"Accipiter rhodogaster",3.5
"Accipiter rufitorques",3.4
"Accipiter rufiventris",3.5
"Accipiter striatus",3.5
"Accipiter superciliosus",3.6
"Accipiter trinotatus",3.75
"Accipiter ventralis",3.5
"Accipiter virgatus",3.5
"Acentrogobius audax",3.48
"Acentrogobius caninus",3.5
"Acentrogobius cenderawasih",3.23
"Acentrogobius chlorostigmatoides",3.46
"Acentrogobius cyanomos",3.47
"Acentrogobius dayi",3.46
"Acentrogobius ennorensis",3.34
"Acentrogobius griseus",3.42
"Acentrogobius janthinopterus",3.49
"Acentrogobius limarius",3.19
"Acentrogobius masoni",3.42
"Acentrogobius moloanus",4.2
"Acentrogobius multifasciatus",3.42
"Acentrogobius nebulosus",3.64
"Acentrogobius pellidebilis",3.33
"Acentrogobius pflaumii",3.07
"Acentrogobius simplex",3.43
"Acentrogobius suluensis",3.19
"Acentrogobius therezieni",3.43
"Acentrogobius vanderloosi",3.29
"Acentrogobius viganensis",3.42
"Acentrogobius violarisi",3.16
"Acentrogobius viridipunctatus",3.56
"Acentronichthys leptos",3.42
"Acentronura breviperula",3.15
"Acentronura gracilissima",3.75
"Acentronura tentaculata",3.18
"Acentrophryne dolichonema",3.79
"Acentrophryne longidens",3.47
"Acerodon celebensis",2
"Acerodon humilis",2
"Acerodon jubatus",2
"Acerodon leucotis",2
"Acerodon mackloti",2
"Acestridium colombiense",2
"Acestridium dichromum",2
"Acestridium discus",2
"Acestridium gymnogaster",2
"Acestridium martini",2
"Acestridium scutatum",2
"Acestridium triplax",2
"Acestrocephalus acutus",3.78
"Acestrocephalus anomalus",4.05
"Acestrocephalus boehlkei",3.89
"Acestrocephalus maculosus",3.66
"Acestrocephalus nigrifasciatus",3.73
"Acestrocephalus pallidus",3.55
"Acestrocephalus sardina",3.89
"Acestrocephalus stigmatus",3.8
"Acestrorhynchus abbreviatus",4.15
"Acestrorhynchus altus",4.2
"Acestrorhynchus britskii",4.02
"Acestrorhynchus falcatus",4.2
"Acestrorhynchus falcirostris",3.85
"Acestrorhynchus grandoculis",3.84
"Acestrorhynchus heterolepis",4.2
"Acestrorhynchus isalineae",3.81
"Acestrorhynchus lacustris",4.24
"Acestrorhynchus maculipinna",3.7
"Acestrorhynchus microlepis",4.35
"Acestrorhynchus minimus",3.6
"Acestrorhynchus nasutus",3.64
"Acestrorhynchus pantaneiro",4.27
"Acetes erythraeus",2.83
"Acetes intermedius",3.37
"Achaeta",2
"Achaeta abulba",2
"Achaetops pycnopygius",2.8
"Acheilognathus asmussii",2
"Acheilognathus barbatulus",2.15
"Acheilognathus barbatus",2.21
"Acheilognathus binidentatus",2.08
"Acheilognathus brevicaudatus",2.08
"Acheilognathus changtingensis",2.29
"Acheilognathus coreanus",2.16
"Acheilognathus cyanostigma",2.43
"Acheilognathus deignani",2.4
"Acheilognathus elongatoides",2.07
"Acheilognathus elongatus",2
"Acheilognathus fasciodorsalis",2.08
"Acheilognathus gracilis",2.36
"Acheilognathus hondae",2.08
"Acheilognathus hypselonotus",2
"Acheilognathus imberbis",2.28
"Acheilognathus imfasciodorsalis",2.08
"Acheilognathus intermedia",2.02
"Acheilognathus kyphus",2.08
"Acheilognathus longibarbatus",2.1
"Acheilognathus longipinnis",2.28
"Acheilognathus macromandibularis",2.4
"Acheilognathus macropterus",2
"Acheilognathus majusculus",2
"Acheilognathus melanogaster",2.08
"Acheilognathus meridianus",2.07
"Acheilognathus microphysa",2.26
"Acheilognathus nguyenvanhaoi",2.08
"Acheilognathus omeiensis",2.23
"Acheilognathus peihoensis",2.08
"Acheilognathus polylepis",2.08
"Acheilognathus polyspinus",2.08
"Acheilognathus rhombeus",2.08
"Acheilognathus striatus",2.38
"Acheilognathus tabira",2.18
"Acheilognathus taenianalis",2.05
"Acheilognathus tonkinensis",2.1
"Acheilognathus typus",2.08
"Acheilognathus yamatsutae",2
"Achipteria coleoptrata",2.01397058823529
"Achipteria nitens",2
"Achiroides leucorhynchos",3.5
"Achiroides melanorhynchus",3.5
"Achiropsetta tricholepis",3.37
"Achirus achirus",4.01
"Achirus declivis",3.32
"Achirus klunzingeri",3.35
"Achirus lineatus",3.52
"Achirus mazatlanus",3.2
"Achirus mucuri",3.25
"Achirus novoae",3.36
"Achirus scutum",3.27
"Achirus zebrinus",3.36
"Achlyonice violaecuspidata",2
"Achoerodus gouldii",3.78
"Achoerodus viridis",3.7
"Achondrostoma arcasii",3.5
"Achondrostoma occidentale",2.98
"Achondrostoma oligolepis",2.98
"Achondrostoma salmantinum",2.99
"Achromadora",2
"Acinocheirodon melanogramma",2.52
"Acinonyx jubatus",3.5
"Acipenser baerii",3.33
"Acipenser brevirostrum",3.085
"Acipenser dabryanus",2
"Acipenser fulvescens",3.27999997138977
"Acipenser gueldenstaedtii",3.32
"Acipenser medirostris",3.52
"Acipenser mikadoi",3.31
"Acipenser naccarii",3.35
"Acipenser nudiventris",3.33
"Acipenser oxyrhynchus",2.92207792207792
"Acipenser oxyrinchus",3.325
"Acipenser persicus",3.72
"Acipenser ruthenus",3.57
"Acipenser schrenckii",3.26
"Acipenser sinensis",3.5
"Acipenser stellatus",3.49
"Acipenser sturio",3.51
"Acipenser transmontanus",3.25
"Acmaea mitra",2
"Acnodon normani",2.31
"Acnodon oligacanthus",2.12
"Acnodon senai",2.03
"Acodontaster capitatus",3
"Acodontaster conspicuus",3
"Acodontaster hodgsoni",3
"Acomys airensis",2.55
"Acomys cahirinus",2.45
"Acomys chudeaui",2.55
"Acomys cilicicus",2.45
"Acomys cineraceus",2.55
"Acomys dimidiatus",2.55
"Acomys ignitus",2.45
"Acomys johannis",2.55
"Acomys kempi",2.45
"Acomys louisae",2.45
"Acomys minous",2.45
"Acomys mullah",2.45
"Acomys nesiotes",2.45
"Acomys percivali",2.45
"Acomys russatus",2.8
"Acomys seurati",2.55
"Acomys spinosissimus",2.45
"Acomys subspinosus",2.45
"Acomys wilsoni",2.45
"Aconaemys fuscus",2
"Aconaemys porteri",2
"Aconaemys sagei",2
"Acontias aurantiacus",3
"Acontias breviceps",3
"Acontias cregoi",3
"Acontias gariepensis",3
"Acontias kgalagadi",3
"Acontias lineatus",3
"Acontias litoralis",3
"Acontias meleagris",3
"Acontias percivali",3
"Acontias plumbeus",3
"Acreichthys hajam",2.91
"Acreichthys radiatus",2.92
"Acreichthys tomentosus",2.97
"Acris blanchardi",3
"Acris crepitans",3
"Acris gryllus",3
"Acrobates pygmaeus",2.8
"Acrobatornis fonsecai",3
"Acrobeles ciliatus",2
"Acrobeloides",2
"Acrobrycon ipanquianus",2.99
"Acrobrycon ortii",2.99
"Acrobrycon starnesi",2.99
"Acrocalanus gibber",2
"Acrocephalus aedon",3
"Acrocephalus aequinoctialis",3.2
"Acrocephalus arundinaceus",3.1
"Acrocephalus atyphus",3.1
"Acrocephalus australis",3
"Acrocephalus brevipennis",2.9
"Acrocephalus caffer",3.1
"Acrocephalus familiaris",2.9
"Acrocephalus gracilirostris",3.2
"Acrocephalus griseldis",3.1
"Acrocephalus kerearako",3
"Acrocephalus luscinius",3.2
"Acrocephalus mendanae",2.8
"Acrocephalus newtoni",3
"Acrocephalus palustris",2.8
"Acrocephalus rehsei",3
"Acrocephalus rimatarae",3.1
"Acrocephalus rodericanus",3
"Acrocephalus rufescens",3.2
"Acrocephalus sechellensis",3.1
"Acrocephalus stentoreus",3
"Acrocephalus syrinx",3.1
"Acrocephalus taiti",2.8
"Acrocephalus vaughani",3
"Acrocheilus alutaceus",2.13
"Acrochordonichthys chamaeleon",3.92
"Acrochordonichthys falcifer",3.88
"Acrochordonichthys guttatus",3.91
"Acrochordonichthys gyrinus",3.82
"Acrochordonichthys ischnosoma",3.93
"Acrochordonichthys mahakamensis",3.83
"Acrochordonichthys pachyderma",4.12
"Acrochordonichthys rugosus",4.2
"Acrochordonichthys septentrionalis",3.93
"Acrochordonichthys strigosus",3.83
"Acrochordus granulatus",4.5
"Acrocnida brachiata",2
"Acromycter alcocki",3.69
"Acromycter atlanticus",3.73
"Acromycter longipectoralis",3.65
"Acromycter nezumi",3.82
"Acromycter perturbator",3.73
"Acroperla sp.",2.01666666666667
"Acroperla trivacuata",2.20833333333333
"Acroperus harpae",2
"Acropoma argentistigma",3.55
"Acropoma boholensis",3.61
"Acropoma hanedai",3.62
"Acropoma japonicum",3.26
"Acropoma lecorneti",3.87
"Acropoma profundum",3.26
