"Scientific","tl"
"Chlidichthys chagosensis",3.23
"Chlidichthys clibanarius",3.34
"Chlidichthys foudioides",3.32
"Chlidichthys inornatus",3.31
"Chlidichthys johnvoelckeri",3.4
"Chlidichthys pembae",3.33
"Chlidichthys randalli",3.28
"Chlidichthys rubiceps",3.33
"Chlidichthys smithae",3.26
"Chlidonias albostriatus",4.18
"Chlidonias hybrida",3.73
"Chlidonias leucopterus",3.89
"Chlidonias niger",4.1
"Chlopsis apterus",3.6
"Chlopsis bicollaris",3.54
"Chlopsis bicolor",3.72
"Chlopsis bidentatus",3.5
"Chlopsis dentatus",3.54
"Chlopsis kazuko",3.46
"Chlopsis longidens",3.58
"Chlopsis nanhaiensis",3.61
"Chlopsis olokun",3.64
"Chlopsis orientalis",3.61
"Chlopsis sagmacollaris",3.57
"Chlopsis slusserorum",3.46
"Chlorestes notata",2.1
"Chlorocebus aethiops",2.5
"Chlorocebus cynosuros",2.4
"Chlorocebus djamdjamensis",2.1
"Chlorocebus pygerythrus",2.5
"Chlorocebus sabaeus",2.5
"Chlorocebus tantalus",2.2
"Chloroceryle aenea",3.8
"Chloroceryle amazona",3.5
"Chloroceryle americana",3.6
"Chloroceryle inda",3.6
"Chlorodiella barbata",2
"Chlorodiella cytherea",2
"Chlorodiella laevissima",2
"Chlorodiella nigra",2
"Chloroperla tripunctata",3.14444444444444
"Chloropeta gracilirostris",3
"Chloropeta natalensis",3
"Chloropeta similis",3
"Chlorophthalmus acutifrons",4.03
"Chlorophthalmus agassizi",3.66
"Chlorophthalmus albatrossis",4.06
"Chlorophthalmus atlanticus",3.17
"Chlorophthalmus borealis",3.2
"Chlorophthalmus brasiliensis",3.57
"Chlorophthalmus chalybeius",3.59
"Chlorophthalmus corniger",3.54
"Chlorophthalmus ichthyandri",3.59
"Chlorophthalmus mento",3.59
"Chlorophthalmus nigromarginatus",3.61
"Chlorophthalmus pectoralis",3.59
"Chlorophthalmus proridens",3.59
"Chlorophthalmus punctatus",3.53
"Chlorophthalmus zvezdae",3.59
"Chloropidae",2
"Chloropsis kinabaluensis",2.4
"Chloropsis media",2.3
"Chloroscombrus chrysurus",3.54
"Chloroscombrus orqueta",2.54
"Chlorostilbon alice",2.1
"Chlorostilbon lucidus",2.1
"Chlorostilbon maugaeus",2.1
"Chlorostilbon mellisugus",2.1
"Chlorostilbon olivaresi",2.1
"Chlorostilbon poortmani",2.1
"Chlorostilbon ricordii",2.1
"Chlorostilbon russatus",2.1
"Chlorostilbon stenurus",2.1
"Chlorostilbon swainsonii",2.1
"Chlorotalpa duthieae",3
"Chlorotalpa sclateri",3
"Chlorothraupis carmioli",2.8
"Chlorothraupis frenata",2.6
"Chlorothraupis olivacea",2.7
"Chlorothraupis stolzmanni",2.3
"Chlorotocus crassicornis",3.3
"Chlorurus atrilunula",2
"Chlorurus bleekeri",2
"Chlorurus bowersi",2
"Chlorurus capistratoides",2.06
"Chlorurus cyanescens",2
"Chlorurus enneacanthus",2
"Chlorurus frontalis",2
"Chlorurus genazonatus",2
"Chlorurus gibbus",2
"Chlorurus japanensis",2
"Chlorurus microrhinos",2
"Chlorurus oedema",2
"Chlorurus perspicillatus",2
"Chlorurus rhakoura",2
"Chlorurus sordidus",2.62
"Chlorurus spilurus",2
"Chlorurus strongylocephalus",2
"Chlorurus troschelii",2.11
"Chocoheros microlepis",3.27
"Chodsigoa caovansunga",2.7
"Chodsigoa hypsibia",2.7
"Chodsigoa lamula",2.7
"Chodsigoa parca",2.7
"Chodsigoa parva",2.7
"Chodsigoa salenskii",2.7
"Chodsigoa smithii",2.7
"Chodsigoa sodalis",2.7
"Choerodon anchorago",4.24
"Choerodon aurulentus",3.59
"Choerodon azurio",3.5
"Choerodon cauteroma",3.44
"Choerodon cephalotes",3.37
"Choerodon cyanodus",3.6
"Choerodon cypselurus",3.41
"Choerodon fasciatus",3.38
"Choerodon frenatus",3.46
"Choerodon gomoni",3.28
"Choerodon graphicus",4.27
"Choerodon gymnogenys",3.35
"Choerodon japonicus",3.34
"Choerodon jordani",3.5
"Choerodon margaritiferus",3.29
"Choerodon melanostigma",3.46
"Choerodon monostigma",3.39
"Choerodon oligacanthus",3.44
"Choerodon paynei",3.46
"Choerodon robustus",3.35
"Choerodon rubescens",3.58
"Choerodon schoenleinii",3.38
"Choerodon skaiopygmaeus",3.33
"Choerodon sugillatum",3.38
"Choerodon venustus",3.53
"Choerodon vitta",3.35
"Choerodon zamboangae",3.48
"Choerodon zosterophorus",3.39
"Choeroichthys brachysoma",3.2
"Choeroichthys cinctus",3.25
"Choeroichthys latispinosus",3.21
"Choeroichthys sculptus",3.23
"Choeroichthys smithi",3.15
"Choeroichthys suillus",3.23
"Choeroniscus godmani",2.3
"Choeroniscus minor",2.3
"Choeroniscus periosus",2.3
"Choeronycteris mexicana",2.2
"Choerophryne allisoni",3
"Choerophryne amomani",3
"Choerophryne arndtorum",3
"Choerophryne burtoni",3
"Choerophryne longirostris",3
"Choerophryne microps",3
"Choerophryne nigrescens",3
"Choerophryne proboscidea",3
"Choerophryne rostellifer",3
"Choloepus didactylus",2
"Choloepus hoffmanni",2
"Chologaster cornuta",3.28
"Chondestes grammacus",2.3
"Chondriovelum adeliense",2
"Chondrodactylus angulifer",3
"Chondrodactylus bibronii",3
"Chondrodactylus turneri",3
"Chondrohierax uncinatus",3.2
"Chondrostoma angorense",2.48
"Chondrostoma beysehirense",2.58
"Chondrostoma ceyhanensis",2.47
"Chondrostoma colchicum",2.5
"Chondrostoma cyri",2.99
"Chondrostoma esmaeilii",2.6
"Chondrostoma fahirae",2.63
"Chondrostoma holmwoodii",2.5
"Chondrostoma kinzelbachi",2.48
"Chondrostoma knerii",2.49
"Chondrostoma kubanicum",2.42
"Chondrostoma meandrense",2.48
"Chondrostoma nasus",2
"Chondrostoma orientale",2.58
"Chondrostoma oxyrhynchum",2.36
"Chondrostoma phoxinus",2.57
"Chondrostoma prespense",2
"Chondrostoma regium",2.43
"Chondrostoma scodrense",2.6
"Chondrostoma soetta",2.78
"Chondrostoma toros",2.53
"Chondrostoma vardarense",2.42
"Chondrostoma variabile",2.45
"Chone",2
"Chone collaris",2
"Chonerhinos naritus",3.41
"Choranthias salmopunctatus",3.29
"Choranthias tenuis",3.29
"Chordeuma silvestre",2.75
"Chordeumatidae (juv) {m}",2.75
"Chordeumatidae (juv) {s}",2.75
"Choriaster granulatus",3.84
"Choridactylus lineatus",4.06
"Choridactylus multibarbus",3.83
"Choridactylus natalensis",3.81
"Choridactylus striatus",3.95
"Chorismus antarcticus",2.84729064039409
"Chorisochismus dentex",3.17
"Chorizopora brongniartii",2
"Chortiheros wesseli",3.18
"Chorus giganteus",3.23
"Chriodorus atherinoides",3.07
"Chriolepis atrimelum",3.16
"Chriolepis benthonis",3.16
"Chriolepis bilix",3.15
"Chriolepis cuneata",3.16
"Chriolepis dialepta",3.16
"Chriolepis fisheri",3.05
"Chriolepis lepidota",3.16
"Chriolepis minutillus",3.1
"Chriolepis roosevelti",3.28
"Chriolepis semisquamata",3.25
"Chriolepis tagus",2.99
"Chriolepis vespa",3.16
"Chriolepis zebra",3.17
"Chrionema chlorotaenia",4.08
"Chrionema chryseres",4.06
"Chrionema furunoi",4.06
"Chrionema pallidum",3.87
"Chrionema squamentum",4.03
"Chrionema squamiceps",4.03
"Christinus guentheri",2.7
"Christinus marmoratus",2.7
"Chromadoridae",2
"Chromidotilapia cavalliensis",3.28
"Chromidotilapia elongata",3.3
"Chromidotilapia guntheri",2.6
"Chromidotilapia kingsleyae",3.38
"Chromidotilapia linkei",3.28
"Chromidotilapia mamonekenei",3.32
"Chromidotilapia melaniae",3.29
"Chromidotilapia mrac",3.32
"Chromidotilapia nana",3.23
"Chromidotilapia regani",3.37
"Chromidotilapia schoutedeni",3.26
"Chromis abrupta",3.01
"Chromis abyssicola",3.02
"Chromis abyssus",3.02
"Chromis acares",3.01
"Chromis agilis",2.96
"Chromis albicauda",3.02
"Chromis albomaculata",2.97
"Chromis alleni",3.4
"Chromis alpha",3.02
"Chromis alta",3.4
"Chromis amboinensis",2.74
"Chromis analis",3.04
"Chromis athena",3.01
"Chromis atrilobata",3.4
"Chromis atripectoralis",3.06
"Chromis atripes",2.64
"Chromis axillaris",3.02
"Chromis bami",3.01
"Chromis brevirostris",3.02
"Chromis cadenati",3.03
"Chromis caudalis",3.02
"Chromis chromis",3.77
"Chromis chrysura",3.04
"Chromis cinerascens",2.68
"Chromis circumaurea",3.02
"Chromis crusma",3.02
"Chromis cyanea",3.365
"Chromis dasygenys",2.64
"Chromis degruyi",3.02
"Chromis delta",3.01
"Chromis dimidiata",2.68
"Chromis dispilus",3.01
"Chromis durvillei",3.02
"Chromis earina",3.02
"Chromis elerae",2.67
"Chromis enchrysura",3.4
"Chromis fatuhivae",3.02
"Chromis fieldi",3.01
"Chromis flavapicis",3.4
"Chromis flavaxilla",3.4
"Chromis flavicauda",3.02
"Chromis flavipectoralis",3.02
"Chromis flavomaculata",2.96
"Chromis fumea",3.4
"Chromis hanui",3.01
"Chromis howsoni",3.01
"Chromis hypsilepis",2.71
"Chromis insolata",3.4
"Chromis intercrusma",3.03
"Chromis iomelas",2.69
"Chromis jubauna",3.02
"Chromis kennensis",3.02
"Chromis klunzingeri",2.68
"Chromis lepidolepis",3.41
"Chromis leucura",3.11
"Chromis limbata",3.4
"Chromis limbaughi",3.4
"Chromis lineata",3.01
"Chromis lubbocki",3.02
"Chromis margaritifer",2.95
"Chromis meridiana",3.02
"Chromis mirationis",2.65
"Chromis monochroma",3.01
"Chromis multilineata",3.005
"Chromis nigroanalis",3.02
"Chromis nigrura",3.4
"Chromis nitida",2.66
"Chromis notata",3.4
"Chromis okamurai",3.02
"Chromis onumai",3.02
"Chromis opercularis",2.72
"Chromis ovalis",3.08
"Chromis ovatiformes",3.4
"Chromis pamae",3.4
"Chromis pelloura",2.72
"Chromis pembae",2.67
"Chromis planesi",3.02
"Chromis punctipinnis",2.73
"Chromis pura",3.02
"Chromis randalli",3.02
"Chromis retrofasciata",2.65
"Chromis sanctaehelenae",3.02
"Chromis scotochiloptera",3.4
"Chromis scotti",3.4
"Chromis struhsakeri",3.02
"Chromis ternatensis",3.4
"Chromis trialpha",2.68
"Chromis unipa",3.01
"Chromis vanderbilti",3.19
"Chromis verater",3.28
"Chromis viridis",2.92
"Chromis weberi",3.4
"Chromis westaustralis",2.71
"Chromis woodsi",3.02
"Chromis xanthochira",2.72
"Chromis xanthopterygia",3.02
"Chromis xanthura",3.4
"Chromis xouthos",3.02
"Chromis xutha",3.01
"Chromis yamakawai",3.02
"Chromobotia macracanthus",2.85
"Chromodoris annulata",3
"Chromodoris baumanni",3
"Chromodoris dalli",3
"Chromodoris fidelis",3
"Chromodoris lochi",3
"Chromodoris obsoleta",3
"Chromogobius britoi",3.16
"Chromogobius quadrivittatus",3.39
"Chromogobius zebratus",3.25
"Chronogaster",2
"Chrosomus cumberlandensis",2.56
"Chrosomus eos",2.76145436210466
"Chrosomus erythrogaster",2.46
"Chrosomus neogaeus",2.63
"Chrosomus oreas",2
"Chrosomus saylori",2.54
"Chrosomus tennesseensis",2.55
"Chrotogale owstoni",2.85
"Chrotomys gonzalesi",2.3
"Chrotomys mindorensis",2.3
"Chrotomys silaceus",2.3
"Chrotomys whiteheadi",2.3
"Chrotopterus auritus",3
"Chrysallida pellucida",4
"Chrysaora melanaster",4
"Chrysaora quinquecirrha",3.53388888888889
"Chrysichthys acsiorum",3.28
"Chrysichthys aluuensis",3.18
"Chrysichthys ansorgii",3.28
"Chrysichthys auratus",3.66
"Chrysichthys bocagii",3.25
"Chrysichthys brachynema",3.89
"Chrysichthys brevibarbis",3.33
"Chrysichthys cranchii",3.44
"Chrysichthys dageti",3.3
"Chrysichthys delhezi",3.27
"Chrysichthys dendrophorus",3.35
"Chrysichthys depressus",3.25
"Chrysichthys duttoni",3.27
"Chrysichthys habereri",3.29
"Chrysichthys helicophagus",3.37
"Chrysichthys hildae",3.2
"Chrysichthys johnelsi",3.31
"Chrysichthys laticeps",3.43
"Chrysichthys levequei",3.24
"Chrysichthys longibarbis",3.28
"Chrysichthys longidorsalis",3.3
"Chrysichthys longipinnis",3.061
"Chrysichthys mabusi",3.33
"Chrysichthys macropterus",3.29
"Chrysichthys maurus",2.69
"Chrysichthys nigrodigitatus",3.17
"Chrysichthys nyongensis",3.27
"Chrysichthys ogooensis",3.28
"Chrysichthys okae",3.16
"Chrysichthys ornatus",3.28
"Chrysichthys polli",3.2
"Chrysichthys praecox",3.14
"Chrysichthys punctatus",3.23
"Chrysichthys rueppelli",3.26
"Chrysichthys sharpii",3.3
"Chrysichthys teugelsi",3.23
"Chrysichthys thonneri",3.35
"Chrysichthys thysi",3.3
"Chrysichthys turkana",3.18
"Chrysichthys uniformis",3.29
"Chrysichthys wagenaari",3.36
"Chrysichthys walkeri",3.2
"Chrysiptera albata",2.88
"Chrysiptera annulata",2.75
"Chrysiptera arnazae",2.8
"Chrysiptera biocellata",2
"Chrysiptera bleekeri",2.68
"Chrysiptera brownriggii",2.72
"Chrysiptera burtjonesi",2.75
"Chrysiptera caeruleolineata",2.84
"Chrysiptera caesifrons",2.75
"Chrysiptera chrysocephala",2.74
"Chrysiptera cyanea",2.45
"Chrysiptera cymatilis",3.4
"Chrysiptera flavipinnis",2.68
"Chrysiptera galba",2.66
"Chrysiptera giti",2.82
"Chrysiptera glauca",2.39
"Chrysiptera hemicyanea",2.43
"Chrysiptera kuiteri",3.4
"Chrysiptera niger",2.71
"Chrysiptera notialis",2.65
"Chrysiptera oxycephala",2.73
"Chrysiptera parasema",3.4
"Chrysiptera pricei",2.79
"Chrysiptera rapanui",2.72
"Chrysiptera rex",2.46
"Chrysiptera rollandi",2.71
"Chrysiptera sheila",2.62
"Chrysiptera sinclairi",2.74
"Chrysiptera springeri",2.68
"Chrysiptera starcki",2.76
"Chrysiptera talboti",2.8
"Chrysiptera taupou",2.65
"Chrysiptera traceyi",2.68
"Chrysiptera tricincta",2.72
"Chrysiptera unimaculata",2.08
"Chrysoblephus anglicus",3.42
"Chrysoblephus cristiceps",3.66
"Chrysoblephus gibbiceps",3.68
"Chrysoblephus laticeps",3.95
"Chrysoblephus lophus",3.69
"Chrysoblephus puniceus",3.5
"Chrysobothris",2
"Chrysobrycon eliasi",2.99
"Chrysobrycon guahibo",2.99
"Chrysobrycon hesperus",2.99
"Chrysobrycon myersi",2.99
"Chrysobrycon yoliae",2.99
"Chrysochir aureus",3.5
"Chrysochloris asiatica",3
"Chrysochloris stuhlmanni",3
"Chrysochloris visagiei",3
"Chrysococcyx crassirostris",3
"Chrysococcyx flavigularis",2.8
"Chrysococcyx klaas",3
"Chrysococcyx maculatus",3
"Chrysococcyx meyeri",3
"Chrysococcyx osculans",2.8
"Chrysococcyx ruficollis",3
"Chrysococcyx xanthorhynchus",2.8
"Chrysocolaptes festivus",2.8
"Chrysocolaptes lucidus",2.8
"Chrysocyon brachyurus",3.15
"Chrysolampis mosquitus",2.1
"Chrysomelidae",2
"Chrysomelidae sp.",2
"Chrysomelidae sp. (juv)",2
"Chrysomma poecilotis",3
"Chrysomus icterocephalus",2.4
"Chrysomus ruficapillus",2
"Chrysopa",3
"Chrysopaa sternosignata",3
"Chrysopidae",2
"Chrysospalax trevelyani",3
"Chrysospalax villosus",3
"Chrysothlypis chrysomelas",2.2
"Chrysothlypis salmoni",2.6
"Chrysotus cilipes",2.14646464646465
"Chtenopteryx sicula",4.03
"Chthamalus bisinuatus",2.5
"Chthamalus dentatus",2.5
"Chthamalus fragilis",2
"Chthamalus sp.",2.5
"Chthamalus stellatus",2
"Chuanchia labiosa",2.73
"Chunga burmeisteri",2.75
"Chydorus bicornutus",2
"Chydorus latus",2
"Chydorus sp.",2.16666666666667
"Chydorus sphaericus",2
"Cibacapsa gulosa",3.11
"Cibicides refulgens",2
"Cichla intermedia",4.17
"Cichla jariina",4.16
"Cichla kelberi",4.37
"Cichla melaniae",4.1
"Cichla mirianae",4.32
"Cichla monoculus",3.9
"Cichla nigromaculata",4.06
"Cichla ocellaris",4.5
"Cichla orinocensis",4.48
"Cichla pinima",4.32
"Cichla piquiti",4.21
"Cichla pleiozona",4.26
"Cichla temensis",4.49
"Cichla thyrorus",4.25
"Cichla vazzoleri",4.23
"Cichladusa arquata",3.2
"Cichladusa guttata",2.7
"Cichladusa ruficauda",2.6
"Cichlasoma amazonarum",2.47
"Cichlasoma araguaiense",3.24
"Cichlasoma bimaculatum",3.6
"Cichlasoma boliviense",3.27
"Cichlasoma dimerus",3.28
"Cichlasoma geddesi",3.17
"Cichlasoma istlanum",3.38
"Cichlasoma orientale",3.3
"Cichlasoma orinocense",3.27
"Cichlasoma paranaense",3.25
"Cichlasoma portalegrense",3.26
"Cichlasoma pusillum",3.2
"Cichlasoma sanctifranciscense",3.24
"Cichlasoma taenia",3.29
"Cichlasoma trimaculatum",3.44
"Cichlasoma zarskei",3.26
"Cichlopsis leucogenys",2.7
"Cicinnurus regius",2.4
"Ciconia abdimii",3.9
"Ciconia boyciana",3.85
"Ciconia ciconia",3.7
"Ciconia maguari",3.65
"Ciconia nigra",3.85
"Ciliata mustela",3.15277777777778
"Ciliata septentrionalis",3.5
"Ciliata tchangi",3.5
"ciliates",3
"Ciliates",2
"Ciliatocardium ciliatum",2
"Ciliopagurus strigatus",2
"Cilus gilberti",3.92
"Cinachyra antarctica",2
"Cinachyra barbata",2
"Cinachyrella alloclada",2
"Cincelichthys bocourti",3.28
"Cincelichthys pearsei",2
"Cinclidium diana",3
"Cinclidium frontale",3
"Cinclidium leucurum",2.6
"Cinclodes nifrofumanus",2.63296107916851
"Cincloramphus cruralis",2.8
"Cincloramphus mathewsi",2.9
"Cinclosoma ajax",3
"Cinclosoma castaneothorax",2.7
"Cinclosoma castanotum",2.8
"Cinclosoma cinnamomeum",2.6
"Cinclosoma punctatum",3
"Cinclus cinclus",3.2
"Cinclus leucocephalus",3
"Cinclus mexicanus",3.2
"Cinclus pallasii",3
"Cinclus schulzi",3
"Cinetodus carinatus",3.13
"Cinetodus conorhynchus",3.1
"Cinetodus crassilabris",2.57
"Cinetodus froggatti",3.22
"Cinnamon Teal",2.69230769230769
"Cinnycerthia fulva",3
"Cinnycerthia peruana",3
"Cinnyricinclus leucogaster",2.2
"Cinnyricinclus sharpii",2.5
"Circaetus beaudouini",3.1
"Circaetus cinerascens",3.85
"Circaetus cinereus",3.95
"Circaetus fasciolatus",3.8
"Circaetus gallicus",3.95
"Circaetus pectoralis",3.8
"Circeis",2
"Circeis armoricana",2.33333333333333
"Circus aeruginosus",3.6
"Circus approximans",3.45
"Circus assimilis",3.65
"Circus buffoni",3.75
"Circus cinereus",3.6
"Circus cyaneus",3.35
"Circus macrourus",3.45
"Circus maillardi",3.65
"Circus maurus",3.5
"Circus melanoleucos",3.5
"Circus pygargus",3.3
"Circus ranivorus",3.4
"Circus spilonotus",3.6
"Cirolanidae",2.02777777777778
"cirratulid",2
"cirratulid?",2
"Cirratulus cirratus",2
"Cirrhibarbis capensis",3.29
"Cirrhigaleus asper",4.5
"Cirrhigaleus australis",4.25
"Cirrhigaleus barbifer",3.99
"Cirrhilabrus adornatus",3.3
"Cirrhilabrus africanus",3.31
"Cirrhilabrus aurantidorsalis",3.36
"Cirrhilabrus balteatus",3.4
"Cirrhilabrus bathyphilus",3.34
"Cirrhilabrus beauperryi",3.37
"Cirrhilabrus blatteus",3.4
"Cirrhilabrus brunneus",3.22
"Cirrhilabrus cenderawasih",3.31
"Cirrhilabrus claire",3.36
"Cirrhilabrus condei",3.31
"Cirrhilabrus cyanogularis",3.3
"Cirrhilabrus cyanopleura",3.4
"Cirrhilabrus earlei",3.32
"Cirrhilabrus efatensis",3.32
"Cirrhilabrus exquisitus",3.4
"Cirrhilabrus filamentosus",3.4
"Cirrhilabrus flavidorsalis",3.26
"Cirrhilabrus greeni",3.24
"Cirrhilabrus humanni",3.27
"Cirrhilabrus hygroxerus",3.27
"Cirrhilabrus isosceles",3.28
"Cirrhilabrus joanallenae",3.32
"Cirrhilabrus johnsoni",3.4
"Cirrhilabrus jordani",3.4
"Cirrhilabrus katherinae",3.33
"Cirrhilabrus katoi",3.34
"Cirrhilabrus laboutei",3.4
"Cirrhilabrus lanceolatus",3.38
"Cirrhilabrus lineatus",3.4
"Cirrhilabrus lubbocki",3.4
"Cirrhilabrus lunatus",3.37
"Cirrhilabrus luteovittatus",3.4
"Cirrhilabrus marinda",3.23
"Cirrhilabrus marjorie",3.28
"Cirrhilabrus melanomarginatus",3.4
"Cirrhilabrus morrisoni",3.27
"Cirrhilabrus nahackyi",3.31
"Cirrhilabrus naokoae",3.29
"Cirrhilabrus punctatus",3.42
"Cirrhilabrus pylei",3.34
"Cirrhilabrus randalli",3.37
"Cirrhilabrus rhomboidalis",3.4
"Cirrhilabrus roseafascia",3.36
"Cirrhilabrus rubeus",3.26
"Cirrhilabrus rubrimarginatus",3.45
"Cirrhilabrus rubripinnis",3.1
"Cirrhilabrus rubrisquamis",3.33
"Cirrhilabrus rubriventralis",3.4
"Cirrhilabrus ryukyuensis",3.34
"Cirrhilabrus sanguineus",3.31
"Cirrhilabrus scottorum",3.4
"Cirrhilabrus shutmani",3.27
"Cirrhilabrus solorensis",3.38
"Cirrhilabrus squirei",3.27
"Cirrhilabrus temminckii",3.4
"Cirrhilabrus tonozukai",3.3
"Cirrhilabrus walindi",3.28
"Cirrhilabrus walshi",3.3
"Cirrhimuraena calamus",3.74
"Cirrhimuraena cheilopogon",3.74
"Cirrhimuraena chinensis",3.83
"Cirrhimuraena inhacae",3.58
"Cirrhimuraena oliveri",3.74
"Cirrhimuraena orientalis",3.74
"Cirrhimuraena paucidens",3.74
"Cirrhimuraena playfairii",3.7
"Cirrhimuraena tapeinoptera",3.74
"Cirrhimuraena yuanding",3.77
"Cirrhinus caudimaculatus",2.25999999046326
"Cirrhinus cirrhosus",2.4
"Cirrhinus fulungee",2.4
"Cirrhinus inornatus",2.57
"Cirrhinus jullieni",2.48000001907349
"Cirrhinus macrops",2.41
"Cirrhinus microlepis",2.38
"Cirrhinus molitorella",2
"Cirrhinus mrigala",2.19
"Cirrhinus reba",2.44
"Cirrhinus rubirostris",2.51
"Cirrhitichthys aprinus",3.49000000953674
"Cirrhitichthys aureus",4.03
"Cirrhitichthys bleekeri",3.93
"Cirrhitichthys calliurus",4.04
"Cirrhitichthys falco",3.96
"Cirrhitichthys guichenoti",4.04
"Cirrhitichthys oxycephalus",4.01
"Cirrhitichthys randalli",3.99
"Cirrhitops fasciatus",3.65
"Cirrhitops hubbardi",4.04
"Cirrhitops mascarenensis",3.58
"Cirrhitus albopunctatus",3.8
"Cirrhitus atlanticus",3.63
"Cirrhitus pinnulatus",3.68
"Cirrhitus rivulatus",4.02
"Cirrhoscyllium expolitum",3.57
"Cirrhoscyllium formosanum",3.6
"Cirrhoscyllium japonicum",3.64
"Cirricaecula johnsoni",3.57
"Cirricaecula macdowelli",3.57
"Cirriemblemaria lucasana",3.4
"Cirriformia dasylophia",2
"Cirriformia semicincta",2
"Cirriformia spirabrancha",2
"Cirriformia tentaculata",2
"Cirrimaxilla formosa",3.39
"Cirripectes alboapicalis",2
"Cirripectes alleni",2
"Cirripectes auritus",2
"Cirripectes castaneus",2
"Cirripectes chelomatus",2
"Cirripectes filamentosus",2
"Cirripectes fuscoguttatus",2
"Cirripectes gilberti",2
"Cirripectes heemstraorum",2.16
"Cirripectes hutchinsi",2
"Cirripectes imitator",2
"Cirripectes jenningsi",2
"Cirripectes kuwamurai",2
"Cirripectes obscurus",2
"Cirripectes perustus",2
"Cirripectes polyzona",2.81
"Cirripectes quagga",2
"Cirripectes randalli",2
"Cirripectes springeri",2
"Cirripectes stigmaticus",2
"Cirripectes vanderbilti",2
"Cirripectes variolosus",2
"Cirripectes viriosus",2
"Cirrisalarias bunares",2.64
"Cirrophorus branchiatus",2
"Cisticola aberdare",3
"Cisticola angusticauda",3
"Cisticola aridulus",2.8
"Cisticola ayresii",2.8
"Cisticola brachypterus",3
"Cisticola brunnescens",3
"Cisticola carruthersi",2.7
"Cisticola cherina",3
"Cisticola dambo",3
"Cisticola discolor",3
"Cisticola exilis",3
"Cisticola eximius",3
"Cisticola fulvicapilla",2.7
"Cisticola galactotes",2.8
"Cisticola haesitatus",3
"Cisticola hunteri",3
"Cisticola juncidis",2.8
"Cisticola lais",2.7
"Cisticola melanurus",3
"Cisticola nanus",3
"Cisticola natalensis",2.8
"Cisticola njombe",3
"Cisticola pipiens",3
"Cisticola restrictus",3
"Cisticola robustus",3
"Cisticola rufilatus",3
"Cisticola rufus",3
"Cisticola subruficapilla",2.8
"Cisticola textrix",2.8
"Cisticola troglodytes",3
"Cistothorus apolinari",2.8
"Cistothorus platensis",3
"Cistugo lesueuri",3
"Cistugo seabrae",3
"Citharichthys abbotti",3.48
"Citharichthys amblybregmatus",3.48
"Citharichthys arctifrons",3.29
"Citharichthys arenaceus",3.46
"Citharichthys cornutus",3.35
"Citharichthys darwini",3.28
"Citharichthys dinoceros",3.43
"Citharichthys fragilis",3.52
"Citharichthys gilberti",4.05
"Citharichthys gnathus",3.45
"Citharichthys gordae",3.43
"Citharichthys gymnorhinus",3.29
"Citharichthys macrops",3.5
"Citharichthys mariajorisae",3.44
"Citharichthys minutus",3.48
"Citharichthys platophrys",3.5
"Citharichthys sordidus",3.46
"Citharichthys spilopterus",3.5699999332428
"Citharichthys stampflii",3.87
"Citharichthys stigmaeus",3.4
"Citharichthys surinamensis",3.48
"Citharichthys uhleri",3.5
"Citharichthys valdezi",3.48
"Citharichthys xanthostigma",3.55
"Citharidium ansorgii",2.13
"Citharinops distichodoides",2.04
"Citharinus citharus",2
"Citharinus congicus",2.25
"Citharinus eburneensis",2.42
"Citharinus gibbosus",2.17
"Citharinus latus",2.19
"Citharinus macrolepis",2.12
"Citharoides macrolepidotus",3.5
"Citharoides macrolepis",3.65
"Citharoides orbitalis",3.67
"Citharus linguatula",3.97
"Cittarium pica",2
"Cittura cyanotis",3.2
"Civettictis civetta",2.7
"Cladocera",2.4
"Cladorhynchus leucocephalus",3
"Claea dabryi",2.72
"Clamator coromandus",3
"Clamator glandarius",3.1
"Clangula hyemalis",3.105
"Clapper Rail",3
"Claravis godefrida",2
"Claravis mondetoura",2
"Claravis pretiosa",2.2
"Clariallabes attemsi",3.48
"Clariallabes brevibarbis",3.73
"Clariallabes centralis",3.64
"Clariallabes heterocephalus",3.53
"Clariallabes laticeps",3.63
"Clariallabes longicauda",3.72
"Clariallabes manyangae",3.55
"Clariallabes melas",3.7
"Clariallabes mutsindoziensis",3.2
"Clariallabes petricola",3.45
"Clariallabes pietschmanni",3.52
"Clariallabes platyprosopos",4.2
"Clariallabes simeonsi",3.35
"Clariallabes teugelsi",3.59
"Clariallabes uelensis",3.43
"Clariallabes variabilis",3.57
"Clarias abbreviatus",3.46
"Clarias agboyiensis",3.72
"Clarias albopunctatus",3.36
"Clarias alluaudi",3.2
"Clarias anfractus",3.38
"Clarias angolensis",3.25
"Clarias anguillaris",3.35
"Clarias batrachus",3.42
"Clarias batu",3.46
"Clarias brachysoma",3.63
"Clarias buettikoferi",3.36
"Clarias buthupogon",3.25
"Clarias camerunensis",3.5
"Clarias cataractus",3.46
"Clarias cavernicola",2.77
"Clarias dayi",3.34
"Clarias dhonti",3.35
"Clarias dumerilii",3.43
"Clarias dussumieri",3.72
"Clarias ebriensis",3.42
"Clarias engelseni",3.35
"Clarias fuscus",3.74
"Clarias gabonensis",3.27
"Clarias gariepinus",3.76
"Clarias gracilentus",3.46
"Clarias hilli",3.36
"Clarias insolitus",3.34
"Clarias intermedius",3.39
"Clarias jaensis",3.51
"Clarias kapuasensis",3.44
