species,genus,id,tax_query_name,tax_query_id,family,order,class,phylum
Tylocephalum minus,Tylocephalum,ott3668473,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum minutum,Tylocephalum,ott3668462,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum mukundai,Tylocephalum,ott3668461,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum pandurangi,Tylocephalum,ott5134411,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum pingue,Tylocephalum,ott3668475,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum rhinobatii,Tylocephalum,ott3668490,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum shindei,Tylocephalum,ott5134408,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum singhii,Tylocephalum,ott3668454,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum sp.,Tylocephalum,ott293297,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum squatinae,Tylocephalum,ott3668484,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Tylocephalum yorkei,Tylocephalum,ott3668448,Tylocephalum sp. DTJL-2000,293297,Tetragonocephalidae,Lecanicephalidea,Cestoda,Platyhelminthes
Uncibilocularis bombayensis,Uncibilocularis,ott5134526,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis loreni,Uncibilocularis,ott5134525,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis okei,Uncibilocularis,ott5134528,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis osmanabadensis,Uncibilocularis,ott5693802,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis ranuae,Uncibilocularis,ott5693801,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis ratanagiriensis,Uncibilocularis,ott5134522,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis ratnagiriensis,Uncibilocularis,ott5477954,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis shindei,Uncibilocularis,ott5477952,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
